name,mass (g),fall,year,reclat,reclong,GeoLocation
Arispe,683000.0,Found,1896.0,30.33333,-109.98333,"(30.33333, -109.98333)"
Arlington,8940.0,Found,1894.0,44.6,-94.1,"(44.6, -94.1)"
Arriba,31100.0,Found,1936.0,39.3,-103.25,"(39.3, -103.25)"
Asheville,800.0,Found,1839.0,35.58333,-82.53333,"(35.58333, -82.53333)"
Ashfork,27000.0,Found,1901.0,35.25,-112.5,"(35.25, -112.5)"
Atlanta,5500.0,Found,1938.0,31.8,-92.75,"(31.8, -92.75)"
Atwood,2100.0,Found,1963.0,40.51667,-103.26667,"(40.51667, -103.26667)"
Auburn,3630.0,Found,1867.0,32.63333,-85.5,"(32.63333, -85.5)"
Augusta County,76000.0,Found,1858.0,38.16667,-79.08333,"(38.16667, -79.08333)"
Aurora,1000.0,Found,1938.0,36.33333,-105.05,"(36.33333, -105.05)"
Axtell,6200.0,Found,1943.0,31.66,-96.97167,"(31.66, -96.97167)"
Babb's Mill (Blake's Iron),136000.0,Found,1876.0,36.3,-82.88333,"(36.3, -82.88333)"
Babb's Mill (Troost's Iron),6400.0,Found,1842.0,36.3,-82.88333,"(36.3, -82.88333)"
Bacubirito,22000000.0,Found,1863.0,26.2,-107.83333,"(26.2, -107.83333)"
Bagdad,2200.0,Found,1959.0,34.613317,-113.398967,"(34.613317, -113.398967)"
Bald Eagle,3200.0,Found,1891.0,41.28333,-77.05,"(41.28333, -77.05)"
Ballinger,1250.0,Found,1927.0,31.76667,-99.98333,"(31.76667, -99.98333)"
Bartlett,8590.0,Found,1938.0,30.83333,-97.5,"(30.83333, -97.5)"
Barwise,10400.0,Found,1950.0,34.0,-101.5,"(34.0, -101.5)"
Batesland,2500.0,Found,1961.0,43.13333,-102.1,"(43.13333, -102.1)"
Bear Creek,227000.0,Found,1866.0,39.6,-105.3,"(39.6, -105.3)"
Bear Lodge,48500.0,Found,1931.0,44.5,-104.2,"(44.5, -104.2)"
Beaver,25628.0,Found,1940.0,36.8,-100.53333,"(36.8, -100.53333)"
Beeler,11620.0,Found,1924.0,38.53333,-100.21667,"(38.53333, -100.21667)"
Beenham,44400.0,Found,1937.0,36.21667,-103.65,"(36.21667, -103.65)"
Bella Roca,33000.0,Found,1888.0,24.9,-105.4,"(24.9, -105.4)"
Belle Plaine,78800.0,Found,1950.0,37.31667,-97.25,"(37.31667, -97.25)"
Belly River,7900.0,Found,1943.0,49.5,-113.0,"(49.5, -113.0)"
Belmont,25300.0,Found,1958.0,42.73333,-90.35,"(42.73333, -90.35)"
Bennett County,89000.0,Found,1934.0,43.5,-101.25,"(43.5, -101.25)"
Bethune,67.0,Found,1941.0,39.3,-102.41667,"(39.3, -102.41667)"
Billings,24500.0,Found,1903.0,37.06667,-93.55,"(37.06667, -93.55)"
Bishop Canyon,8600.0,Found,1912.0,38.0,-108.5,"(38.0, -108.5)"
Bison,11000.0,Found,1958.0,38.30667,-99.71,"(38.30667, -99.71)"
Black Mountain,800.0,Found,1839.0,35.58333,-82.35,"(35.58333, -82.35)"
Blithfield,1830.0,Found,1910.0,45.5,-77.0,"(45.5, -77.0)"
