Meteorite ID,Meteorite Name,Latitude,Longitude,Country,Discovery Time,Year
Q4049389,Shelter Island meteorite,,,,2009-12-01T00:00:00Z,
Q4049972,Springwater meteorite,-108.367,51.9667,Canada,1931-01-01T00:00:00Z,
Q4053060,Weston meteorite,-73.37055556,41.22555556,,,
Q4053207,Wold Cottage,-0.413333333,54.136666666,United Kingdom,,
Q4094564,Borodino,35.86666667,55.46666667,,1812-09-05T00:00:00Z,
Q4096315,Brenham,-99.1636,37.5825,United States of America,1882-01-01T00:00:00Z,
Q4179251,Žemaitkiemis meteorite,25.0,55.3,Lithuania,,
Q4179971,Kharkov,35.075,50.625,,,
Q4332343,Ozernoe,62.8,54.9,,1983-08-01T00:00:00Z,
Q4334665,Omolon,161.80833333,64.02,,,
Q4362766,Pillistfer,25.7333,58.6667,Estonia,,
Q4382614,Mbozi meteorite,33.06666667,-9.11666667,Tanzania,1930-01-01T00:00:00Z,
Q12071146,Honolulu,-157.8666667,21.3,,,
Q12072579,Sukhoj Liman,30.8,46.4,,,
Q12648352,Padvarninkai,25.0,55.666666666,Lithuania,,
Q12658352,Jodzie,24.345555555,55.451666666,,,
Q13188660,Bremervörde,9.1,53.4,Germany,,
Q15122433,Nagai,140.06166667,38.12166667,,,
Q15132969,Khatyrka meteorite,174.500555555,62.653055555,Russia,,
Q15255597,Monte Milone (meteorite),13.35,43.26666667,,,
Q15264763,Ourique (meteorite),-8.28,37.60833333,,,
Q15807481,Eichstädt,11.11666667,48.85,Germany,,
Q16541549,Dunhua,128.25,43.3333,,,
Q16579208,Morasko,16.894,52.483,,,
Q16579208,Morasko,16.916666666,52.483333333,,,
Q16687439,Anthony,-98.05,37.08333333,United States of America,,
Q23758129,Tucson ring meteorite,-110.966666666,31.85,United States of America,,
Q23783059,Carlton meteorite,-98.033333333,31.916666666,United States of America,,
Q23783784,Indarch meteorite,46.666666666,39.75,,,
Q24035700,Social Circle meteorite,-83.7,33.7,United States of America,,
Q24044827,Acfer 214,4.378611111,27.69,Algeria,,
Q24111947,St. Mark's meteorite,27.416666666,-32.016666666,South Africa,,
Q24117683,Rich Mountain meteorite,-83.033333333,35.033333333,United States of America,,
Q24118265,Dhurmsala meteorite,76.466666666,32.233333333,India,,
Q24120927,Vigarano meteorite,11.4,44.85,Italy,,
Q26996031,Castelvecchio meteorite,10.72317,43.98483,Italy,2015-08-03T00:00:00Z,
Q28036729,Pomozdino,54.166666666,62.2,Russia,,
Q28100883,Ybbsitz meteorite fall,14.906943888,47.936943888,Austria,1977-09-17T00:00:00Z,
Q38338102,Aachen,6.08333,50.775,,,
Q38345690,Narni,12.51667,42.51667,,,
Q38346909,Rivolta de Bassi,9.51667,45.48333,,,
Q38347149,Valdinoce,12.1,44.06667,,,
Q38358211,Oliva-Gandia,-0.03333,39.0,,,
Q38359681,Castrovillari,16.2,39.8,,,
Q38361249,Morito,-105.43333,27.05,,,
Q38361427,Jalandhar,75.0,31.0,,,
Q38361486,Stretchleigh,-3.95,50.38333,,,
Q38362227,Hatford,-1.51667,51.65,,,
Q38367840,Minamino,136.93333,35.07833,,,
Q38368294,Stolzenau,9.05,52.53333,Germany,,
Q38368377,Mount Vaisi,6.86667,44.08333,,,
Q38370112,Tonk,76.86667,24.65,,,
Q38370405,Ksar Ghilane 010,9.833,32.806,,,
Q38370589,Jiddat al Harasis 799,56.38982,19.77278,,,
Q38371122,Los Vientos 028,-69.76667,-24.68333,,,
Q38372930,Achiras,-64.95,-33.16667,,,
Q38374102,Aguada,-65.23333,-31.6,,,
Q38374372,Aguila Blanca,-64.55,-30.86667,,,
Q38375111,Aire-sur-la-Lys,2.33333,50.66667,,,
Q38375281,Akaba,35.05,29.51667,,,
Q38442236,Bawku,-0.18333,11.08333,,,
Q38442576,Battle Mountain,-117.18913,40.66813,,,
Q38443246,Beni M'hira,10.8,32.86667,,,
Q38443598,Benguerir,-8.15,32.25,,,
Q38542801,Aztec,-108.0,36.8,,,
Q38548634,Dyalpur,82.0,26.25,,1872-01-01T00:00:00Z,
Q38799709,Akyumak meteorite,42.81667,39.91667,,,
Q38800152,Al Rais,39.51667,24.41667,,,
Q38913220,Al Zarnkh,28.96,13.66033,,,
Q38913699,Alais,4.08333333,44.11666667,,,
Q38913699,Alais,4.08333,44.11667,,,
Q38914227,Alberta,22.66667,2.0,Democratic Republic of the Congo,,
Q38914319,Alby sur Chéran,6.01533,45.82133,,,
Q38914413,Aldsworth,-1.78333,51.78333,,,
Q38914489,Aleppo,37.13333,36.23333,,,
Q38914657,Alexandrovsky,31.81667,50.95,,,
Q38916472,Andhara,85.56667,26.58333,,,
Q38916762,Alta'ameem,44.21556,35.27333,,,
Q39057579,Dingle Dell Meteorite,116.21547,-29.20608,,2016-11-07T00:00:00Z,
Q39391761,Tieschitz,17.117,49.6,,,
Q39392114,Tilden,-89.7,38.2,,,
Q39392320,Tillaberi,1.53,14.25,,,
Q39393341,Tirupati,79.42,13.63,,,
Q39393841,Tjabe,111.53,-7.083,,,
Q39394029,Tjerebon,106.583,-6.67,,,
Q39394214,Tomakovka,34.77,47.85,,,
Q39394409,Nedagolla,83.483,18.683,,,
Q39394575,Nawapali,83.67,21.25,,,
Q39394775,Neagari,136.46528,36.44917,,,
Q39394919,Nassirah,165.9,-21.73,,,
Q40246466,Santa Catharina,-48.6,-26.216666666,Brazil,,
Q45058760,Sainte Rose meteorite,55.686388888,-21.192222222,France,1983-06-01T00:00:00Z,
Q45069383,Lac Dodon,-73.916666666,45.95,,1993-01-01T00:00:00Z,
Q48772462,Bunburra Rockhole,129.19,-31.35,,,
Q55117493,Erevan,44.499957,40.300025,Armenia,1911-01-01T00:00:00Z,
Q55117493,Erevan,44.499957,40.300025,Armenia,1912-01-01T00:00:00Z,
Q55609607,Dimmitt (meteorite),-102.166666666,34.583333333,,,
Q55610643,El Boludo (meteorite),-99.909166666,23.019716666,,,
Q55610658,El Tiro (meteorite),-111.817166666,30.281666666,,,
Q55866109,Uakit meteorite,113.563327777,55.496527777,Russia,,
Q55886468,Varre-Sai meteorite,-41.746805555,-20.850694444,,,
Q55886806,Serra Pelada,-49.653888888,-5.952222222,,,
Q55886820,Marilia,-49.933333333,-22.25,,1971-01-01T00:00:00Z,
Q55888190,Albin,-104.1,41.5,United States of America,1915-01-01T00:00:00Z,
Q56062946,Ackerly meteorite,-101.77222222,32.59027778,,,
Q61484277,Oued Awlitis 001,-12.493,25.954,Western Sahara,,
Q61496886,Wedderburn meteorite,143.633333333,-36.433333333,Australia,,
Q65081765,Braunschweig,10.529444444,52.275277777,Germany,,
Q65163778,Aguas Zarcas meteorite,-84.340278,10.208333,Costa Rica,2019-01-01T00:00:00Z,
Q80579703,Pasamonte meteorite,-103.4,36.216666666,United States of America,,1933-03-24T00:00:00Z
Q85784099,Maryborough meteorite,143.742222222,-37.089166666,,2018-01-01T00:00:00Z,
Q86914193,La Caille meteorite,1.49313,43.58705,France,1650-01-01T00:00:00Z,
Q91895105,Marjalahti meteorite,30.5,61.5,Russia,,
Q97306233,Diepenveen,6.15,52.289444444,Netherlands,,
Q97344640,Narashino meteorite,140.030833333,35.690555555,Japan,2020-07-02T00:00:00Z,
Q104524248,Ksar Ghilane 002,9.832777777,32.806111111,,2010-01-13T00:00:00Z,
Q104530451,Renazzo,11.296111,44.766944,,1824-01-15T00:00:00Z,
Q104673824,Csátalja (meteorite),18.99083,46.00583,,,
Q105941450,Winchcombe meteorite,-1.9755,51.9512,United Kingdom,2021-01-01T00:00:00Z,
Q105973031,Erg Chech 002,-1.611,26.032,,,
Q107275332,Belgica 7904,31.25,-72.583055555,,1979-01-01T00:00:00Z,
Q108987757,Strathmore meteorite,-3.25,56.583333333,,,
Q110830479,Tintigny,5.532957,49.683786,,1971-02-01T00:00:00Z,
Q111211563,Sayh al Uhaymir 150,57.319916666,20.992027777,,2002-10-08T00:00:00Z,
Q115549695,El Ali meteorite,44.898333333,4.288055555,Somalia,2020-01-01T00:00:00Z,
Q117282348,Koshigaya meteorite,139.780833,35.916389,Japan,1902-03-08T00:00:00Z,
