name,mass (g),fall,year,reclat,reclong,GeoLocation
Castine,94.0,Fell,1848.0,44.38333,-68.75,"(44.38333, -68.75)"
Caswell County,1360.0,Fell,1810.0,36.5,-79.25,"(36.5, -79.25)"
Centerville,45.6,Fell,1956.0,43.2,-96.91667,"(43.2, -96.91667)"
Cereseto,6460.0,Fell,1840.0,45.08333,8.3,"(45.08333, 8.3)"
Chail,0.5,Fell,1814.0,25.36667,81.66667,"(25.36667, 81.66667)"
Chainpur,8200.0,Fell,1907.0,25.85,83.48333,"(25.85, 83.48333)"
Chajari,18300.0,Fell,1933.0,-30.78333,-58.05,"(-30.78333, -58.05)"
Chandakapur,8800.0,Fell,1838.0,20.26667,76.01667,"(20.26667, 76.01667)"
Chandpur,1100.0,Fell,1885.0,27.28333,79.05,"(27.28333, 79.05)"
Chantonnay,31500.0,Fell,1812.0,46.68333,1.05,"(46.68333, 1.05)"
Charlotte,4300.0,Fell,1835.0,36.16667,-87.33333,"(36.16667, -87.33333)"
Charsonville,27000.0,Fell,1810.0,47.93333,1.56667,"(47.93333, 1.56667)"
Charwallas,12000.0,Fell,1834.0,29.48333,75.5,"(29.48333, 75.5)"
Chassigny,4000.0,Fell,1815.0,47.71667,5.36667,"(47.71667, 5.36667)"
Château-Renard,30000.0,Fell,1841.0,47.93333,2.91667,"(47.93333, 2.91667)"
Chaves,2945.0,Fell,1925.0,41.93333,-7.46667,"(41.93333, -7.46667)"
Cherokee Springs,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.03333, -81.88333)"
Chervettaz,705.0,Fell,1901.0,46.55,6.81667,"(46.55, 6.81667)"
Chervony Kut,1700.0,Fell,1939.0,50.83333,34.0,"(50.83333, 34.0)"
Chetrinahatti,72.0,Fell,1880.0,14.5,76.5,"(14.5, 76.5)"
Chicora,303.0,Fell,1938.0,40.93333,-79.73333,"(40.93333, -79.73333)"
Colby (Wisconsin),104000.0,Fell,1917.0,44.9,-90.28333,"(44.9, -90.28333)"
Cold Bokkeveld,5200.0,Fell,1838.0,-33.13333,19.38333,"(-33.13333, 19.38333)"
Collescipoli,5000.0,Fell,1890.0,42.53333,12.61667,"(42.53333, 12.61667)"
Cosina,1200.0,Fell,1844.0,21.16667,-100.86667,"(21.16667, -100.86667)"
Cranganore,1460.0,Fell,1917.0,10.2,76.26667,"(10.2, 76.26667)"
Crescent,78.4,Fell,1936.0,35.95,-97.58333,"(35.95, -97.58333)"
Cronstad,3650.0,Fell,1877.0,-27.7,27.3,"(-27.7, 27.3)"
Cross Roads,167.0,Fell,1892.0,35.63333,-78.13333,"(35.63333, -78.13333)"
Crumlin,4255.0,Fell,1902.0,54.61667,-6.21667,"(54.61667, -6.21667)"
Cumberland Falls,17000.0,Fell,1919.0,36.83333,-84.35,"(36.83333, -84.35)"
Cynthiana,6000.0,Fell,1877.0,38.4,-84.25,"(38.4, -84.25)"
Dandapur,5650.0,Fell,1878.0,26.91667,83.96667,"(26.91667, 83.96667)"
Daniel's Kuil,1064.0,Fell,1868.0,-28.2,24.56667,"(-28.2, 24.56667)"
Danville,2000.0,Fell,1868.0,34.4,-87.06667,"(34.4, -87.06667)"
Darmstadt,100.0,Fell,1804.0,49.86667,8.65,"(49.86667, 8.65)"
De Cewsville,340.0,Fell,1887.0,43.0,-80.0,"(43.0, -80.0)"
Deal,28.0,Fell,1829.0,40.25,-74.0,"(40.25, -74.0)"
Delhi,0.8,Fell,1897.0,28.56667,77.25,"(28.56667, 77.25)"
Demina,16400.0,Fell,1911.0,51.46667,84.76667,"(51.46667, 84.76667)"
Desuri,25400.0,Fell,1962.0,25.73333,73.61667,"(25.73333, 73.61667)"
Dharwar,1800.0,Fell,1848.0,14.88333,75.6,"(14.88333, 75.6)"
Dhurmsala,32000.0,Fell,1860.0,32.23333,76.46667,"(32.23333, 76.46667)"
Diep River,1000.0,Fell,1906.0,-33.75,18.56667,"(-33.75, 18.56667)"
Distrito Quebracho,400.0,Fell,1957.0,-31.88333,-60.46667,"(-31.88333, -60.46667)"
Djati-Pengilon,166000.0,Fell,1884.0,-7.5,111.5,"(-7.5, 111.5)"
Djermaia,3950.0,Fell,1961.0,12.73333,15.05,"(12.73333, 15.05)"
Dokachi,3840.0,Fell,1903.0,23.5,90.33333,"(23.5, 90.33333)"
Dolgovoli,1600.0,Fell,1864.0,50.75,25.3,"(50.75, 25.3)"
Domanitch,438.0,Fell,1907.0,40.0,29.0,"(40.0, 29.0)"
Donga Kohrod,230.0,Fell,1899.0,21.86667,82.45,"(21.86667, 82.45)"
Doroninsk,3891.0,Fell,1805.0,51.2,112.3,"(51.2, 112.3)"
Dosso,1250.0,Fell,1962.0,13.05,3.16667,"(13.05, 3.16667)"
Douar Mghila,1161.0,Fell,1932.0,32.33333,-6.3,"(32.33333, -6.3)"
Drake Creek,5000.0,Fell,1827.0,36.4,-86.5,"(36.4, -86.5)"
